Time,REAL_DATA,TELE_DATA
1340,222,218
1341,221,218
1342,223,220
1343,222,218
1344,223,220
1345,223,220
1346,221,218
1347,223,220
1348,222,219
1349,223,220
1350,223,220
1351,221,218
1352,223,220
1353,222,218
1354,223,220
1355,221,218
1356,223,220
1357,221,218
1358,221,218
1359,221,218
1360,223,220
1361,222,219
1362,223,220
1363,223,220
1364,221,218
1365,222,218
1366,221,218
1367,221,218
1368,223,220
1369,221,218
1370,223,220
1371,221,218
1372,223,220
1373,222,218
1374,223,220
1375,221,218
1376,222,218
1377,223,220
1378,223,220
1379,221,218
1380,223,220
1381,222,218
1382,222,218
1383,223,220
1384,223,220
1385,221,218
1386,222,218
1387,223,220
1388,223,220
1389,221,218
1390,221,218
1391,223,220
1392,223,220
1393,221,218
1394,221,218
1395,221,218
1396,223,220
1397,223,220
1398,223,220
1399,222,219
1400,221,218
1401,223,220
1402,221,218
1403,222,219
1404,221,218
1405,223,220
1406,222,219
1407,223,220
1408,221,218
1409,223,220
1410,221,218
1411,221,218
1412,222,218
1413,221,218
1414,223,220
1415,223,220
1416,221,218
1417,223,220
1418,223,220
1419,222,219
1420,222,218
1421,223,220
1422,222,218
1423,223,220
1424,221,218
1425,222,218
1426,223,220
1427,223,220
1428,222,218
1429,223,220
1430,223,220
1431,223,220
1432,223,220
1433,221,218
1434,221,218
1435,223,220
1436,223,220
1437,222,218
1438,223,220
1439,221,218
1440,223,220
1441,222,219
1442,223,220
1443,223,220
1444,221,218
1445,222,218
1446,222,219
1447,223,220
1448,223,220
1449,223,220
1450,223,220
1451,221,218
1452,221,218
1453,222,218
1454,223,220
1455,223,220
1456,221,218
1457,222,219
1458,221,218
1459,223,220
1460,221,218
1461,222,218
1462,223,220
1463,223,220
1464,221,218
1465,221,218
1466,223,220
1467,223,220
1468,223,220
1469,223,220
1470,222,218
1471,221,218
1472,223,220
1473,222,218
1474,221,218
1475,222,219
1476,223,220
1477,221,218
1478,222,218
1479,221,218
1480,223,220
1481,221,218
1482,221,218
1483,223,220
1484,223,220
1485,222,219
1486,221,218
1487,223,220
1488,222,218
1489,221,218
1490,221,218
1491,223,220
1492,222,218
1493,223,220
1494,221,218
1495,223,220
1496,223,220
1497,221,218
1498,222,219
1499,221,218
1500,221,218
1501,221,218
1502,223,220
1503,222,218
1504,223,220
1505,223,220
1506,223,220
1507,221,218
1508,221,218
1509,223,220
1510,223,220
1511,223,220
1512,223,220
1513,221,218
1514,223,220
1515,223,220
1516,221,218
1517,221,218
1518,223,220
1519,223,220
1520,222,218
1521,223,220
1522,221,218
1523,223,220
1524,221,218
1525,222,219
1526,221,218
1527,223,220
1528,223,220
1529,223,220
1530,222,219
1531,221,218
1532,222,218
1533,221,218
1534,223,220
1535,221,218
1536,221,218
1537,223,220
1538,222,218
1539,221,218
1540,223,220
1541,222,219
1542,222,219
1543,221,218
1544,221,218
1545,223,220
1546,222,218
1547,223,220
1548,221,218
1549,222,218
1550,223,220
1551,223,220
1552,223,220
1553,223,220
1554,222,218
1555,223,220
1556,223,220
1557,221,218
1558,222,218
1559,223,220
1560,223,220
1561,221,218
1562,221,218
1563,221,218
1564,221,218
1565,221,218
1566,223,220
1567,221,218
1568,221,218
1569,221,218
1570,223,220
1571,222,218
1572,221,218
1573,223,220
1574,223,220
1575,221,218
1576,223,220
1577,223,220
1578,221,218
1579,223,220
1580,222,219
1581,223,220
1582,223,220
1583,223,220
1584,223,220
1585,221,218
1586,222,218
1587,221,218
1588,222,219
1589,221,218
1590,221,218
1591,221,218
1592,222,218
1593,223,220
1594,223,220
1595,221,218
1596,221,218
1597,222,218
1598,223,220
1599,223,220
1600,222,218
1601,221,218
1602,221,218
1603,221,218
1604,221,218
1605,221,218
1606,222,218
1607,222,218
1608,223,220
1609,223,220
1610,222,218
1611,223,220
1612,223,220
1613,222,219
1614,223,220
1615,221,218
1616,221,218
1617,221,218
1618,221,218
1619,222,219
1620,223,220
1621,223,220
1622,222,219
1623,221,218
1624,221,218
1625,223,220
1626,223,220
1627,222,218
1628,222,218
1629,223,220
1630,221,218
1631,223,220
1632,223,220
1633,221,218
1634,223,220
1635,222,218
1636,223,220
1637,221,218
1638,223,220
1639,223,220
1640,223,220
1641,221,218
1642,221,218
1643,223,220
1644,221,218
1645,223,220
1646,221,218
1647,221,218
1648,223,220
1649,221,218
1650,221,218
1651,222,219
1652,221,218
1653,221,218
1654,223,220
1655,221,218
1656,223,220
1657,221,218
1658,222,218
1659,223,220
1660,221,218
1661,222,218
1662,221,218
1663,223,220
1664,223,220
1665,221,218
1666,222,219
1667,223,220
1668,221,218
1669,222,219
1670,223,220
1671,223,220
1672,221,218
1673,223,220
1674,223,220
1675,223,220
1676,223,220
1677,222,218
1678,223,220
1679,223,220
1680,223,220
1681,222,218
1682,221,218
1683,221,218
1684,221,218
1685,220,218
1686,223,220
1687,223,220
1688,221,218
1689,222,218
1690,223,220
1691,222,218
1692,223,220
1693,222,218
1694,223,220
1695,221,218
1696,223,220
1697,221,218
1698,223,220
1699,221,218
1700,223,220
1701,222,218
1702,221,218
1703,222,218
1704,221,218
1705,223,220
1706,221,218
1707,221,218
1708,223,220
1709,221,218
1710,222,218
1711,222,218
1712,221,218
1713,221,218
1714,223,220
1715,221,218
1716,221,218
1717,221,218
1718,222,218
1719,221,218
1720,223,220
1721,223,220
1722,221,218
1723,223,220
1724,221,218
1725,222,218
1726,223,220
1727,222,219
1728,221,218
1729,221,218
1730,221,218
1731,221,218
1732,221,218
1733,222,218
1734,223,220
1735,223,220
1736,221,218
1737,223,220
1738,222,218
1739,223,220
1740,222,218
1741,221,218
1742,223,220
1743,221,218
1744,221,218
1745,222,219
1746,221,218
1747,221,218
1748,221,218
1749,223,220
1750,223,220
1751,223,220
1752,223,220
1753,223,220
1754,221,218
1755,221,218
1756,223,220
1757,222,218
1758,221,218
1759,223,220
1760,223,220
1761,223,220
1762,222,219
1763,223,220
1764,222,219
1765,221,218
1766,223,220
1767,223,220
1768,223,220
1769,221,218
1770,221,218
1771,223,220
1772,221,218
1773,222,218
1774,221,218
1775,221,218
1776,223,220
1777,222,219
1778,222,218
1779,222,218
1780,222,218
1781,223,220
1782,221,218
1783,221,218
1784,221,218
1785,223,220
1786,221,218
1787,223,220
1788,220,218
1789,220,217
1790,220,218
1791,220,218
1792,223,220
1793,223,220
1794,222,220
1795,220,218
1796,221,218
1797,221,218
1798,218,215
1799,222,219
1800,218,215
1801,221,218
1802,218,215
1803,221,218
1804,221,218
1805,218,215
1806,221,217
1807,218,215
1808,218,215
1809,219,217
1810,218,215
1811,217,214
1812,217,214
1813,217,214
1814,219,217
1815,219,216
1816,219,217
1817,217,214
1818,218,215
1819,218,217
1820,217,214
1821,218,215
1822,217,214
1823,217,214
1824,218,215
1825,218,216
1826,218,216
1827,218,214
1828,217,214
1829,217,214
1830,219,216
1831,218,214
1832,218,215
1833,216,214
1834,218,215
1835,218,214
1836,216,214
1837,218,215
1838,216,214
1839,218,214
1840,218,215
1841,216,214
1842,217,214
1843,218,214
1844,218,215
1845,218,214
1846,219,216
1847,218,214
1848,219,216
1849,219,216
1850,218,215
1851,218,215
1852,216,214
1853,217,214
1854,218,215
1855,216,214
1856,216,214
1857,216,213
1858,218,215
1859,219,216
1860,218,216
1861,218,215
1862,216,214
1863,216,214
1864,216,214
1865,216,214
1866,218,215
1867,218,215
1868,217,214
1869,219,216
1870,218,214
1871,216,214
1872,219,216
1873,216,214
1874,216,214
1875,218,215
1876,218,215
1877,218,215
1878,216,214
1879,218,215
1880,218,216
1881,217,214
1882,218,215
1883,217,214
1884,217,214
1885,217,214
1886,219,216
1887,217,214
1888,216,214
1889,216,214
1890,219,216
1891,219,216
1892,217,214
1893,217,214
1894,218,216
1895,218,215
1896,218,215
1897,216,214
1898,217,214
1899,217,214
1900,218,215
1901,218,215
1902,219,216
1903,218,216
1904,218,215
1905,219,216
1906,218,215
1907,216,214
1908,218,214
1909,218,215
1910,217,214
1911,218,215
1912,218,215
1913,218,215
1914,216,214
1915,218,215
1916,219,216
1917,217,214
1918,218,214
1919,218,215
1920,218,214
1921,217,214
1922,218,216
1923,218,215
1924,218,216
1925,217,214
1926,218,215
1927,218,214
1928,217,214
1929,218,217
1930,217,214
1931,217,214
1932,219,217
1933,219,217
1934,218,215
1935,218,215
1936,217,214
1937,219,217
1938,218,215
1939,218,215
1940,218,215
1941,220,217
1942,218,215
1943,221,218
1944,221,218
1945,221,218
1946,218,214
1947,221,218
1948,220,216
1949,221,218
1950,220,217
1951,221,218
1952,221,218
1953,220,218
1954,220,218
1955,223,220
1956,220,218
1957,220,218
1958,223,220
1959,223,220
1960,220,218
1961,223,220
1962,221,218
1963,223,220
1964,221,218
1965,223,220
1966,221,218
1967,223,220
1968,221,218
1969,222,219
1970,221,218
1971,221,218
1972,222,218
1973,223,220
1974,222,219
1975,221,218
1976,221,218
1977,221,218
1978,223,220
1979,222,218
1980,221,218
1981,221,218
1982,221,218
1983,221,218
1984,221,218
1985,221,218
1986,223,220
1987,223,220
1988,223,220
1989,223,220
1990,221,218
1991,221,218
1992,223,220
1993,223,220
1994,222,218
1995,221,218
1996,223,220
1997,221,218
1998,223,220
1999,221,218
2000,223,220
2001,222,219
2002,221,218
2003,223,220
2004,223,220
2005,221,218
2006,221,218
2007,223,220
2008,223,220
2009,223,220
2010,223,220
2011,222,218
2012,221,218
2013,221,218
2014,223,220
2015,221,218
2016,223,220
2017,222,219
2018,221,218
2019,223,220
2020,221,218
2021,221,218
2022,223,220
2023,223,220
2024,221,218
2025,221,218
2026,221,218
2027,221,218
2028,222,219
2029,221,218
2030,223,220
2031,221,218
2032,223,220
2033,221,218
2034,223,220
2035,222,218
2036,222,218
2037,222,218
